institution,institution_type,country,part,category,mention,quantitative,coverage,data_quality,composite,q1,median,q3,status
Swiss Re,reinsurer,Switzerland,Part B,Facilitated emissions,1,0,0,0,1,1,1,2,PARTIAL
Swiss Re,reinsurer,Switzerland,Part C,Commercial lines,3,0,0,0,3,0,1,2,REPORTED
Swiss Re,reinsurer,Switzerland,Part C,Personal motor,3,1,0,0,4,0,0,3,REPORTED
Swiss Re,reinsurer,Switzerland,Part C,Project insurance,0,0,0,0,0,0,0,0,MISSING
Swiss Re,reinsurer,Switzerland,Part C,Treaty reinsurance,1,1,0,0,2,0,1,1,REPORTED
UniCredit,bank,Italy,Part A,Listed equity and corporate bonds,1,0,0,0,1,0,2,3,PARTIAL
UniCredit,bank,Italy,Part A,Business loans and unlisted equity,1,0,0,0,1,0,0,1,PARTIAL
UniCredit,bank,Italy,Part A,Project finance,1,0,0,0,1,0,0,1,PARTIAL
UniCredit,bank,Italy,Part A,Commercial real estate,1,0,0,0,1,0,1,2,PARTIAL
UniCredit,bank,Italy,Part A,Mortgages,3,0,0,0,3,1,1,2,REPORTED
UniCredit,bank,Italy,Part A,Motor vehicle loans,1,0,0,0,1,0,0,2,PARTIAL
UniCredit,bank,Italy,Part A,Use of proceeds,2,0,0,0,2,1,2,2,PARTIAL
UniCredit,bank,Italy,Part A,Securitized and structured products,1,1,0,0,2,1,1,2,PARTIAL
UniCredit,bank,Italy,Part A,Sovereign debt,1,1,0,0,2,0,2,3,PARTIAL
UniCredit,bank,Italy,Part A,Sub-sovereign debt,1,0,0,0,1,1,1,2,PARTIAL
UniCredit,bank,Italy,Part B,Facilitated emissions,1,1,0,0,2,1,1,2,PARTIAL
UniCredit,bank,Italy,Part C,Commercial lines,1,1,0,0,2,0,1,2,PARTIAL
UniCredit,bank,Italy,Part C,Personal motor,0,0,0,0,0,0,0,3,MISSING
UniCredit,bank,Italy,Part C,Project insurance,0,0,0,0,0,0,0,0,MISSING
UniCredit,bank,Italy,Part C,Treaty reinsurance,1,0,0,0,1,0,1,1,PARTIAL
Zurich,insurer,Switzerland,Part A,Listed equity and corporate bonds,2,0,0,0,2,0,2,3,PARTIAL
Zurich,insurer,Switzerland,Part A,Business loans and unlisted equity,0,0,0,0,0,0,0,1,MISSING
Zurich,insurer,Switzerland,Part A,Project finance,0,0,0,0,0,0,0,1,MISSING
Zurich,insurer,Switzerland,Part A,Commercial real estate,2,0,0,0,2,0,1,2,PARTIAL
Zurich,insurer,Switzerland,Part A,Mortgages,1,0,0,0,1,1,1,2,PARTIAL
Zurich,insurer,Switzerland,Part A,Motor vehicle loans,0,0,0,0,0,0,0,2,MISSING
Zurich,insurer,Switzerland,Part A,Use of proceeds,2,1,0,0,3,1,2,2,REPORTED
Zurich,insurer,Switzerland,Part A,Securitized and structured products,1,0,0,0,1,1,1,2,PARTIAL
Zurich,insurer,Switzerland,Part A,Sovereign debt,2,0,1,0,3,0,2,3,PARTIAL
Zurich,insurer,Switzerland,Part A,Sub-sovereign debt,1,0,0,0,1,1,1,2,PARTIAL
Zurich,insurer,Switzerland,Part B,Facilitated emissions,1,0,0,0,1,1,1,2,PARTIAL
Zurich,insurer,Switzerland,Part C,Commercial lines,3,0,0,0,3,0,1,2,REPORTED
Zurich,insurer,Switzerland,Part C,Personal motor,1,0,1,0,2,0,0,3,PARTIAL
Zurich,insurer,Switzerland,Part C,Project insurance,0,0,0,0,0,0,0,0,MISSING
Zurich,insurer,Switzerland,Part C,Treaty reinsurance,1,0,0,0,1,0,1,1,PARTIAL
