"corpus","user/it3/oct_GZQS3fc7aPtWJBbZbMEFoQ"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"dioxide equivalent",22,4475,141.04643,0.07266,132.424
"suitable financial indicator",20,0,128.22403,0.00000,129.224
"control approach",21,3487,134.63524,0.05662,128.367
"alternative indicator",20,625,128.22403,0.01015,127.926
"asset owner",23,10166,147.45764,0.16507,127.424
"GHG inventory",20,1663,128.22403,0.02700,125.826
"tCO2 e",19,0,121.81283,0.00000,122.813
"Option 2a",19,124,121.81283,0.00201,122.566
"underwriting portfolio",19,126,121.81283,0.00205,122.562
"financial indicator",20,3348,128.22403,0.05436,122.561
"construction emission",19,172,121.81283,0.00279,122.471
"capital market instrument",19,379,121.81283,0.00615,122.062
"third-party data provider",19,449,121.81283,0.00729,121.924
"accounting methodology",19,857,121.81283,0.01392,121.127
"vehicle efficiency",19,1847,121.81283,0.02999,119.237
"annual emission",20,5437,128.22403,0.08828,118.741
"insurance premium",43,83097,275.68167,1.34928,117.773
"Vehicle emission",22,13127,141.04643,0.21315,117.089
"Supplier-specific emission",18,0,115.40163,0.00000,116.402
"sector-specific average emission",18,0,115.40163,0.00000,116.402
"capital market issuance",18,63,115.40163,0.00102,116.283
"market issuance",18,278,115.40163,0.00451,115.879
"market activity",22,14494,141.04643,0.23535,114.985
"carbon dioxide equivalent",19,4430,121.81283,0.07193,114.571
"gross written premium",18,1771,115.40163,0.02876,113.148
"indirect emission",18,2111,115.40163,0.03428,112.544
"use of proceeds structures",17,0,108.99043,0.00000,109.990
"GHG emissions datum",17,159,108.99043,0.00258,109.707
"sheet loan",17,170,108.99043,0.00276,109.688
"corporate purpose",19,7562,121.81283,0.12279,109.382
"specific emission",17,1027,108.99043,0.01668,108.186
"reporting requirement",39,81802,250.03687,1.32826,107.822
"insurance underwriting",17,1811,108.99043,0.02941,106.848
"total value",33,62052,211.56966,1.00757,105.884
"floor area",26,36076,166.69124,0.58578,105.747
"amount in the company",16,0,102.57922,0.00000,103.579
"SSP methodology",16,0,102.57922,0.00000,103.579
"Estimated building energy consumption",16,0,102.57922,0.00000,103.579
"company emissionsc",16,0,102.57922,0.00000,103.579
"Estimated building energy",16,0,102.57922,0.00000,103.579
"market instrument",17,3999,108.99043,0.06493,103.284
"known vehicle",16,297,102.57922,0.00482,103.082
"process emission",16,566,102.57922,0.00919,102.636
"weighting factor",17,4875,108.99043,0.07916,101.922
"emissions report",16,1353,102.57922,0.02197,101.353
"data source",74,230041,474.42892,3.73528,100.401
"actual emission",16,1963,102.57922,0.03187,100.380
"Total project",19,14788,121.81283,0.24012,99.033
"Financial Industry",24,36525,153.86884,0.59307,97.214
"on-balance sheet loan",15,0,96.16802,0.00000,97.168
"EEIO table",15,0,96.16802,0.00000,97.168
"unknown use of proceeds",15,0,96.16802,0.00000,97.168
"TTR I B UTI ON",15,0,96.16802,0.00000,97.168
"sub-sovereign issuer",15,0,96.16802,0.00000,97.168
"EU teg",15,0,96.16802,0.00000,97.168
"attribution of emissions",15,0,96.16802,0.00000,97.168
"Outstanding amount in the company",15,0,96.16802,0.00000,97.168
"company emission",15,86,96.16802,0.00140,97.033
"factor database",15,136,96.16802,0.00221,96.954
"emissions data",15,185,96.16802,0.00300,96.877
